2019-01-12,2019-01-13,2019-01-14,2019-01-15,2019-01-16,2019-01-17,2019-01-18,2019-01-19,2019-01-20,2019-01-21,2019-01-22,2019-01-23,2019-01-24,2019-01-25,2019-01-26,2019-01-27,2019-01-28,2019-01-29,2019-01-30,2019-01-31,2019-02-01,2019-02-02,2019-02-03,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-09,2019-02-10,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15,2019-02-16,2019-02-17,2019-02-18,2019-02-19,2019-02-20,2019-02-21,2019-02-22,2019-02-23,2019-02-24,2019-02-25,2019-02-26,2019-02-27,2019-02-28,2019-03-01,2019-03-02
Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner,Dinner
test,-Soup-,-Soup-,-Soup-,,-Soup-,-Soup-,,-Soup-,-Soup-,-Soup-,,-Soup-,-Soup-,,-Soup-,-Soup-,-Soup-,,-Soup-,-Soup-,,-Soup-,-Soup-,-Soup-,,-Soup-,-Soup-,,-Soup-,-Soup-,-Soup-,,-Soup-,-Soup-,,-Soup-,-Soup-,-Soup-,,-Soup-,-Soup-,,-Soup-,-Soup-,-Soup-,,-Soup-,-Soup-,-Soup-
-Soup-,Ginger Egg Soup,Lotus Roots Soup,,,Seaweed Tofu Soup,Glass Noodles w Beancurd Stick,,Ginger Egg Soup,Fishball Sawi Soup,,,"Corn, Carrot & Onion Soup",Long Cabbage Soup,,Glass Noodles w Beancurd Stick,Fishball Tang Hoon Soup,,,Lotus Root Soup,Sweet Radish Egg Soup,,Fish Maw Soup,Watercress Soup,,,Seaweed Tofu Soup,Glass Noodles w Beancurd Stick,,Ginger Egg Soup,"Corn, Carrot & Onion Soup",,,Seaweed Tofu Soup,Glass Noodles w Beancurd Stick,,Ginger Egg Soup,Lotus Roots Soup,,,Seaweed Tofu Soup,Glass Noodles w Beancurd Stick,,Ginger Egg Soup,Fishball Sawi Soup,,,"Corn, Carrot & Onion Soup",Long Cabbage Soup,Glass Noodles w Beancurd Stick
Ginger Egg Soup,-Meat-,-Main-,-Set A-,-Main-,-Meat-,-Meat-,,-Meat-,-Main-,-Set A-,-Main-,-Meat-,-Meat-,,-Meat-,-Main-,-Set A-,-Main-,-Meat-,-Meat-,,-Meat-,-Main-,-Set A-,-Main-,-Meat-,-Meat-,,-Meat-,-Main-,-Set A-,-Main-,-Meat-,-Meat-,,-Meat-,-Main-,-Set A-,-Main-,-Meat-,-Meat-,,-Meat-,-Main-,-Set A-,-Main-,-Meat-,-Meat-,-Meat-
-Meat-,Black Pepper Chicken,Braised Chicken w Abalone Mushroom,Red-Brown Rice Mix,Rice will be provided,Tandoori Chicken Drumstick,Roasted Chicken Drumlets,,Shrimp Paste Chicken Wing,Taucu Fish Fillet,Pandan Nasi Lemak,Rice will be provided (NUS),Fish Fillet With Spring Onion,Sambal Baked Fish Fillet,,Honey Baked Chicken Wing,Ayam Masak Merah (Spicy Tomato Chicken),Japanese Rice w Teriyaki Sauce,Spaghetti Neapolitan,Kam Hiong Chicken,Pineapple Chicken,,Crispy Thai Sauce Chicken,Gong Bao Chicken,Chicken Rice,Mushroom Aglio Olio,Shrimp Paste Chicken Wings,Adobo Chicken,,Chic Kut Teh Drumstick,Baked BBQ Chicken Winglets,Nasi Briyani,Chicken Baked Rice w Mozzarella Cheese,Black Pepper Slice Beef,Baked Chicken Cube in Brown Sauce,,Black Pepper Chicken,Braised Chicken w Abalone Mushroom,Red-Brown Rice Mix,Rice will be provided,Tandoori Chicken Drumstick,Roasted Chicken Drumlets,,Shrimp Paste Chicken Wing,Taucu Fish Fillet,Pandan Nasi Lemak,Rice will be provided (NUS),Fish Fillet With Spring Onion,Sambal Baked Fish Fillet,Honey Baked Chicken Wing
Black Pepper Chicken,Fish Fillet w Mango Salsa,Butter Chicken Masala,Sous-vide Chicken Breast,,Chicken Curry w Potato,Char Siew Fish Fillet,,Chicken Stew w Potato,Herbal Chicken Drumstick,Crispy Chicken Wing,,Braised Sesame Chicken,Teriyaki Chicken,,Lemon Butter Fish,Baked Chicken w Brown Sauce ,Grilled Chicken Yakitori or Saba Fish,Buttered Rice w Raisin,Lemon Fish,Buttered Fish w Oats,,Steam Chicken Mince w Salted Fish,Portugese Baked Fish Fillet,Char Siew Chicken Drumstick,Buttered Rice w Almond Flakes,Mutton Curry w Potato,Kam Hiong Fish,,Black Pepper Fish,Chicken with Salted Egg Yolk Powder,Deep Fried Chicken Thigh,Fish Baked Rice w Mozzarella Cheese,Sweet & Sour Chicken,Fish Fillet Honey Garlic Sauce,,Fish Fillet w Mango Salsa,Butter Chicken Masala,Sous-vide Chicken Breast,,Chicken Curry w Potato,Char Siew Fish Fillet,,Chicken Stew w Potato,Herbal Chicken Drumstick,Crispy Chicken Wing,,Braised Sesame Chicken,Teriyaki Chicken,Lemon Butter Fish
Fish Fillet w Mango Salsa,Fried Chicken Winglets,Sweet & Sour Fish,Saute Mushroom & Corn,,Fish w Tomato Salsa,Sotong 65,,Buttered Fish w Oats,Black Pepper Chicken,Sambal Shrimp Meat w Onion,,Black Pepper Beef,Squid w Golden Salted Egg Yolk Powder,,Braised Chicken w Sze Chuan Vege,Fish Fillet with Oyster Sauce,Seaweed Chicken or Onsen Egg,,Hot & Spicy Slice Beef,Kambong Fish w Sambal,,Steam Fish w Chai Po,Teppanyaki Beef,Braised Egg & Bergedil,,Steam Fish w Chili Garlic Flake,Braised Sesame Chicken,,Lemon Chicken,Fish Fillet with Garlic Soya Sauce,Sambal Goreng,,Sambal Baked Fish with Lime Leaf,Steam Fish Fillet Chinese Style,,Fried Chicken Winglets,Sweet & Sour Fish,Saute Mushroom & Corn,,Fish w Tomato Salsa,Sotong 65,,Buttered Fish w Oats,Black Pepper Chicken,Sambal Shrimp Meat w Onion,,Black Pepper Beef,Squid w Golden Salted Egg Yolk Powder,Braised Chicken w Sze Chuan Vege
Fried Chicken Winglets,,,Poached Egg,,,,,,,Hard Boil Egg & Fried Chye Sim,,,,,,,Mixed Hibachi Vegetable,,,,,,,Siew Pak Choy w Oyster Sauce,,,,,,,Curry Egg & Papadum,,,,,,,Poached Egg,,,,,,,Hard Boil Egg & Fried Chye Sim,,,,
,-Side Dish-,-Side Dish-,-Set B-,Meat,-Side Dish-,-Side Dish-,,-Side Dish-,-Side Dish-,-Set B-,Meat,-Side Dish-,-Side Dish-,,-Side Dish-,-Side Dish-,-Set B-,Meat,-Side Dish-,-Side Dish-,,-Side Dish-,-Side Dish-,-Set B-,Meat,-Side Dish-,-Side Dish-,,-Side Dish-,-Side Dish-,-Set B-,Meat,-Side Dish-,-Side Dish-,,-Side Dish-,-Side Dish-,-Set B-,Meat,-Side Dish-,-Side Dish-,,-Side Dish-,-Side Dish-,-Set B-,Meat,-Side Dish-,-Side Dish-,-Side Dish-
-Side Dish-,Ma Po Beancurd,Sauteed Potato,Cantonese Hor Fun,Chicken Cutlet,Onion Fried Egg,Egg Sambal w Onion & Tomato,,Teriyaki Fishball,Beancurd with Thai Sauce,Penang Prawn Mee,Roasted Chicken Leg w Rosemary,Deep Fried Sotong Ball,Black Pepper Sausage,,Cheese Taufu,Sweet & Sour Ngoh Hiang,Chicken Pho Noodles,Baked Cajun Chicken Chop,Honey Fishball,Ma Po Beancurd,,Black Pepper Taupok,Stir Fried Potato w Green Pea,Laksa,BBQ Chicken Chop,Tomato Fried Egg,Baked Creamy Potato w Cheese,,Black Pepper Taupok,Steam Egg,Maggie Goreng,,Egg Beancurd with Chicken Mince,Potato Stew,,Ma Po Beancurd,Sauteed Potato,Cantonese Hor Fun,Chicken Cutlet,Onion Fried Egg,Egg Sambal w Onion & Tomato,,Teriyaki Fishball,Beancurd with Thai Sauce,Penang Prawn Mee,Roasted Chicken Leg w Rosemary,Deep Fried Sotong Ball,Black Pepper Sausage,Cheese Taufu
Ma Po Beancurd,Thai Fishcake,Braised Tau Kee,De-Shell Prawn,Cajun Baked Fish,JPN Beancurd w Pumpkin Sauce,Hon Siew Beancurd,,Salt & Pepper Beancurd,Steamed Egg w Crabmeat Stick,De-Shell Prawn,Breaded Fish Cutlet w Tartar Sauce,Baked Curry Potato w Cheese,Sambal Fishball,,Fish Nuggets,Deep Fried Wantan,Shredded Chicken,Dory Fish Fillet w Mushroom Sauce,Egg Beancurd w Chicken Mince,BBQ Cocktail Sausage,,Durama Springroll,Breaded Scallop Cake,Shredded Chicken,Tempura Fish Cutlet,JPN Beancurd w Pumpkin Sauce,Teriyaki Sotong Ball,,Durama Springroll,Fishball w Chili Crab Sauce,Roasted Chicken Drumstick,,Vegetarian Springroll,Ku Chai Fried Egg,,Thai Fishcake,Braised Tau Kee,De-Shell Prawn,Cajun Baked Fish,JPN Beancurd w Pumpkin Sauce,Hon Siew Beancurd,,Salt & Pepper Beancurd,Steamed Egg w Crabmeat Stick,De-Shell Prawn,Breaded Fish Cutlet w Tartar Sauce,Baked Curry Potato w Cheese,Sambal Fishball,Fish Nuggets
Thai Fishcake,Honey Fishball,BBQ Cocktail Sausage,Shredded Chicken & Fishcake,,Chicken Nuggets,Fried Ngoh Hiang,,Seaweed Chicken,Vegetarian Springroll,Egg & Fish Cake,,Ku Chai Fried Egg,Steam Beancurd with Salted Egg,,Stir Fried Potato w Spring Onion,Onion Fried Egg,Potato Cutlet & Fish Cake,,Breaded Spinach Ball,Thai Fishcake,,Hon Siew Beancurd,Black Pepper Sausage,Egg & Fish Ball,,Seaweed Cheese Roll,Fish Nuggets,,Hon Siew Beancurd,Cheese Taufu,Fried Fish Fillet,,Sweet N Sour Chicken Sausage,Breaded Scallop Cake,,Honey Fishball,BBQ Cocktail Sausage,Shredded Chicken & Fishcake,,Chicken Nuggets,Fried Ngoh Hiang,,Seaweed Chicken,Vegetarian Springroll,Egg & Fish Cake,,Ku Chai Fried Egg,Steam Beancurd with Salted Egg,Stir Fried Potato w Spring Onion
Honey Fishball,,,Chye Sim,,,,,,,Beansprout & Kangkong,,,,,,,Beansprout,,,,,,,Beansprout,,,,,,,Fishcake & Keropok,,,,,,,Chye Sim,,,,,,,Beansprout & Kangkong,,,,
,-Vegetable-,-Vegetable-,Condiments,-Side Dish-,-Vegetable-,-Vegetable-,,-Vegetable-,-Vegetable-,Condiments,-Side Dish-,-Vegetable-,-Vegetable-,,-Vegetable-,-Vegetable-,Condiments,-Side Dish-,-Vegetable-,-Vegetable-,,-Vegetable-,-Vegetable-,Condiments,-Side Dish-,-Vegetable-,-Vegetable-,,-Vegetable-,-Vegetable-,Condiments,-Side Dish-,-Vegetable-,-Vegetable-,,-Vegetable-,-Vegetable-,Condiments,-Side Dish-,-Vegetable-,-Vegetable-,,-Vegetable-,-Vegetable-,Condiments,-Side Dish-,-Vegetable-,-Vegetable-,-Vegetable-
-Vegetable-,Tai Pak Choy w Oyster Sauce,HK Chye Sim,,Mash Potato w Gravy,HK Kai Lan,Siew Pak Choy w Babycorn,,Spinach w Wolfberry in Chef Stock,Lo Han Vegetable,Sambal Chili,Potato Wedges w Nacho Cheese,French Bean w Dry Shrimp,Stir Fried Beansprout,,Sambal Goreng,Curry Vegetable,Basil Leaves,Saute Potato,French Bean w Tau Kwa,Spinach w Century Egg,,Stir Fried Snow Peas Mix Vegetable,Spinach w Wolfberry in Chef Stock,Laksa Leaves,Pollock Fish,HK Chye Sim,Nonya Chap Chai,,Stir Fried Snow Peas Mix Vegetable,Spinach with Chef Stock,,Pollock Fish,Stir Fried Ladies Finger,Stir Fried Beansprout,,Tai Pak Choy w Oyster Sauce,HK Chye Sim,,Mash Potato w Gravy,HK Kai Lan,Siew Pak Choy w Babycorn,,Spinach w Wolfberry in Chef Stock,Lo Han Vegetable,Sambal Chili,Potato Wedges w Nacho Cheese,French Bean w Dry Shrimp,Stir Fried Beansprout,Sambal Goreng
Tai Pak Choy w Oyster Sauce,Stir Fried French Bean,Stir Fried Long Bean,,Salted Mix Mushroom,Roasted Mix Vegetabe,Roasted Pumpkin,,Broccoli w Mushroom,Siew Pak Choy w Carrot,Sping Onions,Broccoli w Lemon Butter Cream,Sawi w Oyster Sauce,HK Nai Bai,,HK Chye Sim w Slice Mushroom,Cauliflower w Crabstick Sauce,Sping Onions,Baked Cauliflower w Cheese,Kailan w Oyster Sauce,HK Nai Bai,,Broccoli w Mushroom,Winter Melon w Dried Shrimp,,Crinkle Cut French Fries,Stir Fried Cabbage,Sawi w Oyster Sauce,,Broccoli w Mushroom,Curry Vegetable,,Salted Mix Mushroom,Siew Pak Choy w Oyster Sauce,HK Nai Bai w Carrots,,Stir Fried French Bean,Stir Fried Long Bean,,Salted Mix Mushroom,Roasted Mix Vegetabe,Roasted Pumpkin,,Broccoli w Mushroom,Siew Pak Choy w Carrot,Sping Onions,Broccoli w Lemon Butter Cream,Sawi w Oyster Sauce,HK Nai Bai,HK Chye Sim w Slice Mushroom
Stir Fried French Bean,,Eggplant w Dried Shrimp,,Breaded Spinach Ball,Deep Fried Chye Sim,,,,Braised Cabbage w Mushroom,Shallots,Breaded Onion Ring,Nonya Chap Chai,,,,Stir Fried Ladies Finger,Shallots,Salted Mix Mushroom w Onion,Sze Chuan Eggplant,,,,Deep Fried Chye Sim,,Jacket Potato w Sour Cream,Abalone Mushroom,,,,Long Cabbage w Mix Mushroom,,Chicken Nuggets,Stir Fried Mix Vegetable,,,,Eggplant w Dried Shrimp,,Breaded Spinach Ball,Deep Fried Chye Sim,,,,Braised Cabbage w Mushroom,Shallots,Breaded Onion Ring,Nonya Chap Chai,,
,,,,Golden Potato Puffs,,,,,,,Buttered Corn Niblets,,,,,,,Chicken Nuggets,,,,,,,Buttered Corn Niblets,,,,,,,Hashbrown,,,,,,,Golden Potato Puffs,,,,,,,Buttered Corn Niblets,,,
,,,,Coleslaw,,,,,,,Saute Mushroom,,,,,,,Mash Potato w Gravy,,,,,,,,,,,,,,Garden Fresh Salad,,,,,,,Coleslaw,,,,,,,Saute Mushroom,,,
,-Dessert-,-Dessert-,-Dessert-,-Dessert-,-Dessert-,-Dessert-,,-Dessert- ,-Dessert-,-Dessert-,-Dessert-,-Dessert-,-Dessert-,,-Dessert-,-Dessert-,-Dessert-,-Dessert-,-Dessert-,-Dessert-,,-Dessert-,-Dessert-,-Dessert-,-Dessert-,-Dessert-,-Dessert-,,-Dessert-,-Dessert-,-Dessert-,-Dessert-,-Dessert-,-Dessert-,,-Dessert-,-Dessert-,-Dessert-,-Dessert-,-Dessert-,-Dessert-,,-Dessert-,-Dessert-,-Dessert-,-Dessert-,-Dessert-,-Dessert-,-Dessert-
-Dessert-,Milo Jelly,Orange,Sea Coconut,Black Glutinous Rice,Watermelon,Green Apple,,Pineapple,Watermelon,Cold Cheng Teng,Red Apple,Bo Bo Cha Cha,Pengat Pisang,,Milo Jelly,Red apple,Mango Pudding,Banana,Green Bean Soup,Orange,,Almond Jelly,Barley w Beancurd Stick,Honeydew,Red Apple,Red Bean Soup,Papaya,,Mango Pudding,Barley w Beancurd Stick,Honeydew,Red Apple,Red Bean Soup,Papaya,,Milo Jelly,Orange,Sea Coconut,Black Glutinous Rice,Watermelon,Green Apple,,Pineapple,Watermelon,Cold Cheng Teng,Red Apple,Bo Bo Cha Cha,Pengat Pisang,Milo Jelly
Milo Jelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,